_id,version,acc,avg_pre,avg_recall,avg_f1
666c132cd644416c3aba7f2b,42,0.9862261806130903,0.6176707302639493,0.7661567443878936,0.6719239156414254
666c135cd644416c3aba7f30,43,0.9818765534382767,0.6391456582633157,0.7622701897660457,0.6829290767976645
666c138bd644416c3aba7f35,44,0.9222245236122618,0.573322286661152,0.7140662603069353,0.6262402356827999
666c13d8d644416c3aba7f3a,45,0.8607428887047778,0.5950299838245159,0.662047283702209,0.6161105467212942
666c1408d644416c3aba7f3f,46,0.8379246064623033,0.5780861640430818,0.6463167896266419,0.6009128443914454
666c1437d644416c3aba7f44,47,0.8663697873515602,0.5777744900777263,0.666660584421559,0.6084870167439975
666c1466d644416c3aba7f49,48,0.90503314001657,0.6445871306268944,0.6999464104890736,0.6591248561830679
666c14b5d644416c3aba7f4e,49,0.8018848384424193,0.6279283544403654,0.6151562972606855,0.6094926666463995
666c14e5d644416c3aba7f53,50,0.9728666114333057,0.6301455793585133,0.7554444312936403,0.6744008527703905
666c1515d644416c3aba7f58,51,0.9351698425849213,0.631556002682766,0.7240850330742582,0.6625234372000517
666c1544d644416c3aba7f5d,52,0.9787696768848384,0.6093758630212774,0.760139595744399,0.6645073149356778
